Site_ID,Sample_ID,Data_Source,Latitude_Degrees,Longitude_Degrees,Ocean_Name,Reef_ID,Realm_Name,Ecoregion_Name,Country_Name,State_Island_Province_Name,City_Town_Name,region,Site_Name,Distance_to_Shore,Exposure,Turbidity,Cyclone_Frequency,Date_Day,Date_Month,Date_Year,Depth_m,Substrate_Name,Percent_Cover,Bleaching_Level,Percent_Bleaching,ClimSST,Temperature_Kelvin,Temperature_Mean,Temperature_Minimum,Temperature_Maximum,Temperature_Kelvin_Standard_Deviation,Windspeed,SSTA,SSTA_Standard_Deviation,SSTA_Mean,SSTA_Minimum,SSTA_Maximum,SSTA_Frequency,SSTA_Frequency_Standard_Deviation,SSTA_FrequencyMax,SSTA_FrequencyMean,SSTA_DHW,SSTA_DHW_Standard_Deviation,SSTA_DHWMax,SSTA_DHWMean,TSA,TSA_Standard_Deviation,TSA_Minimum,TSA_Maximum,TSA_Mean,TSA_Frequency,TSA_Frequency_Standard_Deviation,TSA_FrequencyMax,TSA_FrequencyMean,TSA_DHW,TSA_DHW_Standard_Deviation,TSA_DHWMax,TSA_DHWMean,Date,Site_Comments,date_ch,Bleaching_Comments
7981,10311827,Reef_Check,21.9556,120.7119,Pacific,120.711889E.21.955583N,Central Indo-Pacific,Taiwan and coastal China,Taiwan,Pingtung County,Hengchun Township,Hengchun Township,nd,48.73,Sheltered,0.05,61.03,17,11,2018,10,Hard Coral,53.75,Population,0,262.15,299.29,299.86,294.35,304.37,1.98,9,0.17,0.88,0,-4.73,2.88,8.33,4.71,25.33,5.67,0.36,2.63,14.79,2.07,-3,1.98,-7.94,2.07,-2.42,0.67,1.17,4.67,0,0,0.81,6.61,0.23,2018/11/17,nd,2018/11/17,
7981,10311827,Reef_Check,21.9556,120.7119,Pacific,120.711889E.21.955583N,Central Indo-Pacific,Taiwan and coastal China,Taiwan,Pingtung County,Hengchun Township,Hengchun Township,nd,48.73,Sheltered,0.05,61.03,17,11,2018,10,Nutrient Indicator Algae,8.12,Population,0,262.15,299.29,299.86,294.35,304.37,1.98,9,0.17,0.88,0,-4.73,2.88,8.33,4.71,25.33,5.67,0.36,2.63,14.79,2.07,-3,1.98,-7.94,2.07,-2.42,0.67,1.17,4.67,0,0,0.81,6.61,0.23,2018/11/17,nd,2018/11/17,
7981,10311828,Reef_Check,21.9556,120.7119,Pacific,120.711889E.21.955583N,Central Indo-Pacific,Taiwan and coastal China,Taiwan,Pingtung County,Hengchun Township,Hengchun Township,nd,48.73,Sheltered,0.05,61.03,27,4,2019,5,Hard Coral,34.38,Population,0,262.15,301.56,299.86,294.35,304.37,1.98,6,1.72,0.88,0,-4.73,2.88,13,4.71,25.33,5.67,6.98,2.63,14.79,2.07,-0.73,1.98,-7.94,2.07,-2.42,0.67,1.17,4.67,0,0,0.81,6.61,0.23,2019/4/27,nd,2019/4/27,
7981,10311828,Reef_Check,21.9556,120.7119,Pacific,120.711889E.21.955583N,Central Indo-Pacific,Taiwan and coastal China,Taiwan,Pingtung County,Hengchun Township,Hengchun Township,nd,48.73,Sheltered,0.05,61.03,27,4,2019,5,Nutrient Indicator Algae,43.12,Population,0,262.15,301.56,299.86,294.35,304.37,1.98,6,1.72,0.88,0,-4.73,2.88,13,4.71,25.33,5.67,6.98,2.63,14.79,2.07,-0.73,1.98,-7.94,2.07,-2.42,0.67,1.17,4.67,0,0,0.81,6.61,0.23,2019/4/27,nd,2019/4/27,
7981,10311829,Reef_Check,21.9556,120.7119,Pacific,120.711889E.21.955583N,Central Indo-Pacific,Taiwan and coastal China,Taiwan,Pingtung County,Hengchun Township,Hengchun Township,nd,48.73,Sheltered,0.05,61.03,17,11,2018,5,Hard Coral,33.75,Population,0,262.15,299.29,299.86,294.35,304.37,1.98,9,0.17,0.88,0,-4.73,2.88,8.33,4.71,25.33,5.67,0.36,2.63,14.79,2.07,-3,1.98,-7.94,2.07,-2.42,0.67,1.17,4.67,0,0,0.81,6.61,0.23,2018/11/17,nd,2018/11/17,
7981,10311829,Reef_Check,21.9556,120.7119,Pacific,120.711889E.21.955583N,Central Indo-Pacific,Taiwan and coastal China,Taiwan,Pingtung County,Hengchun Township,Hengchun Township,nd,48.73,Sheltered,0.05,61.03,17,11,2018,5,Nutrient Indicator Algae,8.75,Population,0,262.15,299.29,299.86,294.35,304.37,1.98,9,0.17,0.88,0,-4.73,2.88,8.33,4.71,25.33,5.67,0.36,2.63,14.79,2.07,-3,1.98,-7.94,2.07,-2.42,0.67,1.17,4.67,0,0,0.81,6.61,0.23,2018/11/17,nd,2018/11/17,
7981,10311831,Reef_Check,21.9556,120.7119,Pacific,120.711889E.21.955583N,Central Indo-Pacific,Taiwan and coastal China,Taiwan,Pingtung County,Hengchun Township,Hengchun Township,nd,48.73,Sheltered,0.05,61.03,16,11,2019,5,Hard Coral,43.12,Population,0,262.15,299.95,299.86,294.35,304.37,1.98,13,0.79,0.88,0,-4.73,2.88,13,4.71,25.33,5.67,0.39,2.63,14.79,2.07,-2.34,1.98,-7.94,2.07,-2.42,0.33,1.17,4.67,0,0,0.81,6.61,0.23,2019/11/16,nd,2019/11/16,
7981,10311831,Reef_Check,21.9556,120.7119,Pacific,120.711889E.21.955583N,Central Indo-Pacific,Taiwan and coastal China,Taiwan,Pingtung County,Hengchun Township,Hengchun Township,nd,48.73,Sheltered,0.05,61.03,16,11,2019,5,Nutrient Indicator Algae,6.25,Population,0,262.15,299.95,299.86,294.35,304.37,1.98,13,0.79,0.88,0,-4.73,2.88,13,4.71,25.33,5.67,0.39,2.63,14.79,2.07,-2.34,1.98,-7.94,2.07,-2.42,0.33,1.17,4.67,0,0,0.81,6.61,0.23,2019/11/16,nd,2019/11/16,
7981,10311832,Reef_Check,21.9556,120.7119,Pacific,120.711889E.21.955583N,Central Indo-Pacific,Taiwan and coastal China,Taiwan,Pingtung County,Hengchun Township,Hengchun Township,nd,48.73,Sheltered,0.05,61.03,16,11,2019,10,Hard Coral,61.88,Population,0,262.15,299.95,299.86,294.35,304.37,1.98,13,0.79,0.88,0,-4.73,2.88,13,4.71,25.33,5.67,0.39,2.63,14.79,2.07,-2.34,1.98,-7.94,2.07,-2.42,0.33,1.17,4.67,0,0,0.81,6.61,0.23,2019/11/16,nd,2019/11/16,
7981,10311832,Reef_Check,21.9556,120.7119,Pacific,120.711889E.21.955583N,Central Indo-Pacific,Taiwan and coastal China,Taiwan,Pingtung County,Hengchun Township,Hengchun Township,nd,48.73,Sheltered,0.05,61.03,16,11,2019,10,Nutrient Indicator Algae,8.12,Population,0,262.15,299.95,299.86,294.35,304.37,1.98,13,0.79,0.88,0,-4.73,2.88,13,4.71,25.33,5.67,0.39,2.63,14.79,2.07,-2.34,1.98,-7.94,2.07,-2.42,0.33,1.17,4.67,0,0,0.81,6.61,0.23,2019/11/16,nd,2019/11/16,
